0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:02 -0400] "GET /aulascursosya/dwr/interface/Discussion.js HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:02 -0400] "POST /aulascursosya/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:02 -0400] "GET /aulascursosya/xava/editors/flatpickr/en.js HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:02 -0400] "POST /aulascursosya/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 26058
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:05 -0400] "GET /aulascursosya/m/Nivel?init=true HTTP/1.1" 200 19592
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:05 -0400] "GET /aulascursosya/dwr/interface/Modules.js?ox=7.2.3 HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:05 -0400] "GET /aulascursosya/dwr/interface/Folders.js?ox=7.2.3 HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:05 -0400] "GET /aulascursosya/dwr/interface/Tab.js?ox=7.2.3 HTTP/1.1" 200 999
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:05 -0400] "GET /aulascursosya/dwr/util.js?ox=7.2.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:05 -0400] "GET /aulascursosya/dwr/interface/View.js?ox=7.2.3 HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:05 -0400] "GET /aulascursosya/dwr/interface/Module.js?ox=7.2.3 HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:05 -0400] "GET /aulascursosya/dwr/interface/Discussion.js HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:05 -0400] "POST /aulascursosya/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:05 -0400] "GET /aulascursosya/xava/editors/flatpickr/en.js HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:05 -0400] "POST /aulascursosya/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 25782
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:09 -0400] "GET /aulascursosya/m/Pais?init=true HTTP/1.1" 200 19669
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:09 -0400] "GET /aulascursosya/dwr/interface/Modules.js?ox=7.2.3 HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:09 -0400] "GET /aulascursosya/dwr/interface/Folders.js?ox=7.2.3 HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:09 -0400] "GET /aulascursosya/dwr/util.js?ox=7.2.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:09 -0400] "GET /aulascursosya/dwr/interface/Tab.js?ox=7.2.3 HTTP/1.1" 200 999
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:09 -0400] "GET /aulascursosya/dwr/interface/Module.js?ox=7.2.3 HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:09 -0400] "GET /aulascursosya/dwr/interface/View.js?ox=7.2.3 HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:09 -0400] "GET /aulascursosya/dwr/interface/Discussion.js HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:09 -0400] "POST /aulascursosya/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:09 -0400] "GET /aulascursosya/xava/editors/flatpickr/en.js HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:09 -0400] "POST /aulascursosya/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 21658
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:11 -0400] "GET /aulascursosya/m/Preguntas?init=true HTTP/1.1" 200 19819
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:11 -0400] "GET /aulascursosya/dwr/interface/Modules.js?ox=7.2.3 HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:11 -0400] "GET /aulascursosya/dwr/interface/View.js?ox=7.2.3 HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:11 -0400] "GET /aulascursosya/dwr/interface/Tab.js?ox=7.2.3 HTTP/1.1" 200 999
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:11 -0400] "GET /aulascursosya/dwr/interface/Folders.js?ox=7.2.3 HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:11 -0400] "GET /aulascursosya/dwr/interface/Module.js?ox=7.2.3 HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:11 -0400] "GET /aulascursosya/dwr/interface/Discussion.js HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:11 -0400] "POST /aulascursosya/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:11 -0400] "GET /aulascursosya/xava/editors/flatpickr/en.js HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:11 -0400] "POST /aulascursosya/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 27759
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:12 -0400] "GET /aulascursosya/m/Pruebas?init=true HTTP/1.1" 200 19884
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:12 -0400] "GET /aulascursosya/dwr/interface/Modules.js?ox=7.2.3 HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:12 -0400] "GET /aulascursosya/dwr/interface/Folders.js?ox=7.2.3 HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:12 -0400] "GET /aulascursosya/dwr/interface/Tab.js?ox=7.2.3 HTTP/1.1" 200 999
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:12 -0400] "GET /aulascursosya/dwr/interface/View.js?ox=7.2.3 HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:12 -0400] "GET /aulascursosya/dwr/interface/Module.js?ox=7.2.3 HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:12 -0400] "GET /aulascursosya/dwr/interface/Discussion.js HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:12 -0400] "POST /aulascursosya/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:12 -0400] "GET /aulascursosya/xava/editors/flatpickr/en.js HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:12 -0400] "POST /aulascursosya/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 25791
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:13 -0400] "GET /aulascursosya/m/Roles?init=true HTTP/1.1" 200 19945
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:13 -0400] "GET /aulascursosya/dwr/interface/Modules.js?ox=7.2.3 HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:13 -0400] "GET /aulascursosya/dwr/interface/Folders.js?ox=7.2.3 HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:13 -0400] "GET /aulascursosya/dwr/util.js?ox=7.2.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:13 -0400] "GET /aulascursosya/dwr/interface/View.js?ox=7.2.3 HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:13 -0400] "GET /aulascursosya/dwr/interface/Tab.js?ox=7.2.3 HTTP/1.1" 200 999
0:0:0:0:0:0:0:1 - - [10/May/2024:22:38:13 -0400] "GET /aulascursosya/dwr/interface/Module.js?ox=7.2.3 HTTP/1.1" 200 1059
